pathway	10918.38802.R1.fastq.gz	10918.38895.R1.fastq.gz	10918.38896.R1.fastq.gz	10918.38899.R1.fastq.gz	10918.38903.R1.fastq.gz	10918.39015.R1.fastq.gz	10918.39024.R1.fastq.gz	10918.39025.R1.fastq.gz	10918.39027.R1.fastq.gz	10918.39028.R1.fastq.gz	10918.39029.R1.fastq.gz	10918.39125.R1.fastq.gz	10918.39127.R1.fastq.gz	10918.39130.R1.fastq.gz	10918.39136.R1.fastq.gz
PWY-5850	5095.271792680479	9971.648765203687	6766.363442776576	9938.743232817122	10585.629231150522	5900.647607514454	8702.469770036445	3108.4753767825005	6077.502937841846	1143.5239738363266	11310.261952412342	789.2787109621769	2421.244557488913	6329.889134737513	9879.576387656405
PWY-5855	396.9063719016004	2565.5594528119505	2308.2240763003433	4242.685029917191	6728.25329214306	4580.247138082119	5227.554394742844	1431.1149522089797	2801.760808581796	716.968266048973	6571.657213969655	179.22100788244188	352.83614102214267	1607.4743535325813	6682.253837579053
PWY-5856	396.9063719016004	2565.5594528119505	2308.2240763003433	4242.685029917191	6728.25329214306	4580.247138082119	5227.554394742844	1431.1149522089797	2801.760808581796	716.968266048973	6571.657213969655	179.22100788244188	352.83614102214267	1607.4743535325813	6682.253837579053
PWY-5857	396.9063719016004	2565.5594528119505	2308.2240763003433	4242.685029917191	6728.25329214306	4580.247138082119	5227.554394742844	1431.1149522089797	2801.760808581796	716.968266048973	6571.657213969655	179.22100788244188	352.83614102214267	1607.4743535325813	6682.253837579053
PWY-5860	3789.477575979202	7405.524103481081	6841.801687401753	7960.574258274844	11289.522932751195	6795.950897587236	12266.15503144001	3248.8003059610237	5357.756043972138	815.5000749183636	11745.442403297566	609.6599330090711	1660.513068587495	5321.737400693516	10302.005579476134
PWY-5861	21524.41676181821	25467.61875888549	10861.043664557632	9755.51680078261	12672.720783552479	7227.9029120867945	12318.038105854519	4010.4931401848753	7533.502815588107	9774.846911301971	14116.01446725855	3358.7957549649473	7419.092101933516	11456.929544446466	12819.267343825206
PWY-5862	3789.477575979202	7405.524103481081	6841.801687401753	7960.574258274844	11289.522932751195	6795.950897587236	12266.15503144001	3248.8003059610237	5357.756043972138	815.5000749183636	11745.442403297566	609.6599330090711	1660.513068587495	5321.737400693516	10302.005579476134
PWY-5863	17771.87262611775	20311.049806554864	7858.369096487225	6183.661017724332	10413.717815048432	5011.757265782769	17366.22050287938	2517.907948059804	6892.629569736395	6489.408568899846	11364.181670657956	2050.013363965308	4270.981061475082	8630.936038529575	9538.36652552506
PWY-5896	5095.271792680479	9971.648765203687	6766.363442776576	9938.743232817122	10585.629231150522	5900.647607514454	8702.469770036445	3108.4753767825005	6077.502937841846	1143.5239738363266	11310.261952412342	789.2787109621769	2421.244557488913	6329.889134737513	9879.576387656405
PWY-5897	19562.160640707178	26851.508972874297	8998.149355392356	11085.85770944264	11420.37925006791	6149.858640505102	9456.599103020964	3506.5815722455086	7703.961472467124	7999.773921046091	12703.543145221769	2700.662628134056	9089.892515076877	10876.23274815438	11292.040051032352
